Acession;Virus;Genotype;Product;Host;Country;Date;Size;Clinic;Gender;Age
DQ462747;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Reunion;2006;1079;N/A;N/A;N/A
DQ462748;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Reunion;2006;1079;N/A;N/A;N/A
DQ489787;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Hong Kong;2006;1043;CHF;N/A;N/A
DQ489788;Chikungunya;East-Central-South-African;nsP1;Hs;Hong Kong;2006;360;CHF;N/A;N/A
DQ520734;Chikungunya;East-Central-South-African;E1;Hs;India;2006;294;CHF;N/A;N/A
DQ520735;Chikungunya;East-Central-South-African;E1;Hs;India;2006;294;CHF;N/A;N/A
DQ520736;Chikungunya;East-Central-South-African;E1;Hs;India;2006;294;CHF;N/A;N/A
DQ520737;Chikungunya;East-Central-South-African;E1;Hs;India;2005;294;CHF;N/A;N/A
DQ520738;Chikungunya;East-Central-South-African;E1;Hs;India;2006;294;CHF;N/A;N/A
DQ520739;Chikungunya;East-Central-South-African;E1;Hs;India;2006;294;CHF;N/A;N/A
DQ520742;Chikungunya;East-Central-South-African;E1;Hs;India;2006;294;CHF;N/A;N/A
DQ520743;Chikungunya;East-Central-South-African;E1;Hs;India;2006;294;CHF;N/A;N/A
DQ520744;Chikungunya;East-Central-South-African;E1;Hs;India;2006;294;CHF;N/A;N/A
DQ520745;Chikungunya;East-Central-South-African;E1;Hs;India;2006;294;CHF;N/A;N/A
DQ520746;Chikungunya;Asian and Caribbean;E1;Hs;India;2006;294;CHF;N/A;N/A
DQ520755;Chikungunya;East-Central-South-African;nsP4;Hs;India;2005;300;CHF;N/A;N/A
DQ520756;Chikungunya;East-Central-South-African;nsP4;Hs;India;2005;300;CHF;N/A;N/A
DQ520765;Chikungunya;East-Central-South-African;nsP4;Hs;India;2005;440;CHF;N/A;N/A
DQ520766;Chikungunya;East-Central-South-African;nsP4;Hs;India;2005;440;CHF;N/A;N/A
DQ520767;Chikungunya;East-Central-South-African;nsP4;Hs;India;2006;440;N/A;N/A;N/A
DQ520768;Chikungunya;East-Central-South-African;nsP4;Hs;India;2006;417;N/A;N/A;N/A
DQ520769;Chikungunya;East-Central-South-African;nsP4;Hs;India;2006;440;N/A;N/A;N/A
DQ520770;Chikungunya;East-Central-South-African;nsP4;Hs;India;2006;430;N/A;N/A;N/A
DQ520771;Chikungunya;East-Central-South-African;nsP4;Hs;India;2006;440;N/A;N/A;N/A
DQ520772;Chikungunya;East-Central-South-African;nsP4;Hs;India;2006;440;N/A;N/A;N/A
DQ520773;Chikungunya;East-Central-South-African;nsP4;Hs;India;2006;440;CHF;N/A;N/A
DQ520774;Chikungunya;East-Central-South-African;nsP4;Hs;India;2005;440;CHF;N/A;N/A
DQ520775;Chikungunya;East-Central-South-African;nsP4;Hs;India;2006;440;N/A;N/A;N/A
DQ520776;Chikungunya;East-Central-South-African;nsP4;Hs;India;2006;440;N/A;N/A;N/A
DQ520777;Chikungunya;East-Central-South-African;nsP4;Hs;India;2006;440;N/A;N/A;N/A
DQ520778;Chikungunya;East-Central-South-African;nsP4;Hs;India;2006;440;N/A;N/A;N/A
DQ520779;Chikungunya;East-Central-South-African;nsP4;Hs;India;2006;440;N/A;N/A;N/A
DQ520780;Chikungunya;East-Central-South-African;nsP4;Hs;India;2006;440;N/A;N/A;N/A
DQ520781;Chikungunya;East-Central-South-African;nsP4;Hs;India;2006;440;N/A;N/A;N/A
DQ520782;Chikungunya;East-Central-South-African;nsP4;Hs;India;2006;440;N/A;N/A;N/A
DQ520783;Chikungunya;East-Central-South-African;nsP4;Hs;India;2006;410;N/A;N/A;N/A
DQ520784;Chikungunya;East-Central-South-African;nsP4;Hs;India;2006;430;N/A;N/A;N/A
DQ520785;Chikungunya;East-Central-South-African;nsP4;Hs;India;2006;395;N/A;N/A;N/A
DQ520786;Chikungunya;East-Central-South-African;nsP4;Hs;India;2006;390;N/A;N/A;N/A
DQ520787;Chikungunya;East-Central-South-African;nsP4;Hs;India;2006;440;N/A;N/A;N/A
DQ520788;Chikungunya;East-Central-South-African;nsP4;Hs;India;2006;420;N/A;N/A;N/A
DQ520789;Chikungunya;East-Central-South-African;nsP4;Hs;India;2006;378;N/A;N/A;N/A
DQ520790;Chikungunya;East-Central-South-African;nsP4;Hs;India;2006;372;N/A;N/A;N/A
DQ520791;Chikungunya;East-Central-South-African;nsP4;Hs;India;2006;300;CHF;N/A;N/A
DQ678928;Chikungunya;East-Central-South-African;nsP4;Hs;Australia;2006;351;CHF;M;59
DQ888620;Chikungunya;East-Central-South-African;E1;Hs;India;2006;330;CHF;N/A;N/A
DQ909008;Chikungunya;East-Central-South-African;nsP1;Hs;India;2005;291;CHF;N/A;N/A
EF027134;Chikungunya;East-Central-South-African;5'UTR-nsP1-nsP2-nsP3-nsP4-C-E3-E2-6K-E1-3'UTR;Hs;India;2006;11779;N/A;N/A;N/A
EF027135;Chikungunya;East-Central-South-African;nsP1-nsP2-nsP3-nsP4-C-E3-E2-6K-E1-3'UTR;Hs;India;2006;11729;N/A;N/A;N/A
EF027136;Chikungunya;East-Central-South-African;5'UTR-nsP1-nsP2-nsP3-nsP4-C-E3-E2-6K-E1-3'UTR;Hs;India;2006;11800;N/A;N/A;N/A
EF027137;Chikungunya;East-Central-South-African;5'UTR-nsP1-nsP2-nsP3-nsP4-C-E3-E2-6K-E1-3'UTR;Hs;India;2006;11767;N/A;N/A;N/A
EF027138;Chikungunya;East-Central-South-African;5'UTR-nsP1-nsP2-nsP3-nsP4-C-E3-E2-6K-E1-3'UTR;Hs;India;2006;11750;N/A;N/A;N/A
EF187882;Chikungunya;East-Central-South-African;E1;Hs;India;2006;457;N/A;N/A;N/A
EF187883;Chikungunya;East-Central-South-African;E1;Hs;India;2006;457;N/A;N/A;N/A
EF187884;Chikungunya;East-Central-South-African;E1;Hs;India;2006;457;N/A;N/A;N/A
EF187885;Chikungunya;East-Central-South-African;E1;Hs;India;2006;457;N/A;N/A;N/A
EF187886;Chikungunya;East-Central-South-African;E1;Hs;India;2006;457;N/A;N/A;N/A
EF187887;Chikungunya;East-Central-South-African;E1;Hs;India;2006;457;N/A;N/A;N/A
